# Transmittance data for ZAOT nov. 2022
CUTOFF	0	    15	    30	    45	    60	    75
412.05	95.478	95.134	94.941	24.045	47.263	32.754
413.01	95.450	95.196	94.855	20.258	47.175	32.155
413.98	95.404	95.238	94.723	16.589	47.063	31.786
415.05	95.326	95.286	94.568	13.205	46.970	31.656
416.02	95.296	95.377	94.449	10.235	46.892	31.781
416.98	95.222	95.365	94.233	7.739	46.807	32.145
417.95	95.195	95.384	94.012	5.781	46.791	32.730
419.03	95.198	95.336	93.728	4.297	46.815	33.514
420.00	95.252	95.284	93.376	3.191	46.909	34.456
420.98	95.328	95.199	92.872	2.431	47.054	35.504
421.95	95.441	95.168	92.132	1.876	47.272	36.649
423.04	95.517	95.129	91.031	1.476	47.546	37.804
424.03	95.580	95.114	89.453	1.196	47.852	38.898
425.01	95.612	95.136	87.389	0.992	48.190	39.892
426.00	95.623	95.183	84.790	0.838	48.539	40.739
427.00	95.568	95.212	81.688	0.719	48.895	41.386
427.99	95.511	95.277	78.231	0.633	49.257	41.807
429.00	95.432	95.330	74.563	0.571	49.589	42.011
430.00	95.361	95.392	70.753	0.512	49.898	41.987
431.01	95.316	95.481	66.921	0.474	50.160	41.742
432.03	95.277	95.540	63.169	0.438	50.382	41.307
433.05	95.247	95.567	59.655	0.412	50.540	40.699
433.96	95.275	95.614	56.543	0.396	50.657	40.001
434.99	95.321	95.670	53.864	0.372	50.752	39.277
436.02	95.396	95.723	51.545	0.350	50.836	38.590
437.06	95.462	95.741	49.442	0.343	50.900	37.981
437.99	95.546	95.750	47.296	0.338	50.976	37.527
439.03	95.614	95.711	44.946	0.323	51.073	37.218
439.97	95.671	95.615	42.112	0.317	51.192	37.047
441.02	95.723	95.472	38.931	0.317	51.352	37.032
441.97	95.750	95.238	35.422	0.311	51.541	37.179
443.03	95.774	94.964	31.630	0.312	51.745	37.507
443.98	95.803	94.678	27.645	0.318	51.976	38.013
445.05	95.859	94.409	23.521	0.324	52.238	38.698
446.00	95.913	94.140	19.351	0.331	52.489	39.586
446.96	95.937	93.908	15.288	0.344	52.710	40.707
448.04	95.967	93.737	11.541	0.357	52.935	42.079
449.01	95.943	93.600	8.328	0.381	53.129	43.613
449.97	95.883	93.526	5.739	0.410	53.306	45.138
451.06	95.745	93.436	3.876	0.445	53.450	46.443
452.03	95.523	93.308	2.570	0.479	53.555	47.473
453.00	95.253	93.156	1.709	0.535	53.633	48.269
453.98	94.943	92.962	1.186	0.595	53.687	48.876
454.95	94.628	92.727	0.846	0.665	53.727	49.314
456.05	94.322	92.350	0.624	0.761	53.733	49.540
457.02	94.080	91.761	0.479	0.892	53.717	49.509
458.00	93.913	90.791	0.378	1.064	53.703	49.165
458.98	93.825	89.259	0.302	1.286	53.671	48.513
459.95	93.812	86.978	0.249	1.573	53.632	47.642
461.05	93.787	83.670	0.208	1.996	53.575	46.899
462.03	93.744	79.402	0.179	2.588	53.528	46.641
463.00	93.637	74.150	0.162	3.420	53.470	46.960
463.98	93.434	67.999	0.144	4.532	53.416	47.713
464.95	93.155	61.091	0.133	6.018	53.356	48.513
466.04	92.873	53.724	0.121	7.868	53.305	49.058
467.01	92.640	46.151	0.110	10.039	53.264	49.264
467.98	92.478	38.562	0.104	12.523	53.293	49.157
468.95	92.133	31.211	0.098	15.229	53.400	48.938
470.03	91.014	24.325	0.101	18.107	53.595	48.678
470.99	88.687	18.130	0.100	21.049	53.872	48.385
471.95	84.685	12.942	0.099	23.901	54.196	47.940
473.03	79.299	8.769	0.094	26.534	54.496	47.218
473.98	72.794	5.659	0.088	28.764	54.730	46.196
475.04	65.702	3.520	0.083	30.496	54.866	44.971
475.99	58.248	2.227	0.082	31.587	54.929	43.879
477.05	50.515	1.438	0.086	32.077	54.963	43.216
477.99	42.559	0.958	0.076	32.073	55.008	43.079
479.04	34.374	0.675	0.071	31.620	55.034	43.479
479.97	26.257	0.497	0.071	30.866	55.089	44.266
481.01	18.827	0.381	0.065	29.895	55.286	45.440
482.05	12.557	0.302	0.060	28.844	55.718	47.075
482.96	8.006	0.247	0.055	27.843	56.431	49.197
483.99	4.927	0.206	0.055	27.009	57.400	51.684
485.01	3.098	0.174	0.055	26.500	58.610	54.361
486.03	1.978	0.155	0.054	26.396	59.956	56.923
487.05	1.322	0.137	0.054	26.789	61.228	59.031
488.06	0.928	0.120	0.049	27.633	62.230	60.567
488.95	0.671	0.110	0.057	28.861	62.902	61.558
489.95	0.507	0.105	0.060	30.413	63.278	62.052
490.95	0.396	0.101	0.068	32.214	63.414	62.092
492.05	0.319	0.096	0.067	34.184	63.262	61.653
493.04	0.264	0.091	0.071	36.248	62.790	60.630
494.02	0.230	0.090	0.078	38.301	62.007	59.003
495.00	0.204	0.093	0.081	40.270	61.015	56.891
495.98	0.186	0.096	0.088	42.054	59.930	54.488
496.95	0.176	0.094	0.098	43.579	58.897	52.081
498.03	0.166	0.097	0.104	44.773	58.184	50.019
499.00	0.160	0.103	0.110	45.605	58.055	48.410
499.97	0.151	0.106	0.113	46.066	58.585	47.240
501.04	0.149	0.105	0.115	46.174	59.760	46.436
502.01	0.147	0.107	0.114	45.928	61.476	45.923
502.97	0.138	0.109	0.116	45.394	63.536	45.657
504.04	0.137	0.109	0.122	44.611	65.747	45.641
505.00	0.128	0.107	0.120	43.664	67.944	45.931
505.96	0.123	0.102	0.123	42.639	69.945	46.576
507.03	0.116	0.102	0.125	41.623	71.559	47.618
507.99	0.111	0.101	0.124	40.690	72.659	49.178
508.96	0.107	0.100	0.126	39.949	73.251	51.191
