# XA1			
Name            OV	Gain	    DGain	S/N	    DS/N
ALL             4.5 4.486E+05	5E+02	4.4     0.01
ALL             5.5 5.450E+05	4E+02	5.05	0.01
ALL             7.0 6.928E+05	6E+02	6.17	0.02
DF-XA	        4.5	4.55E+05	8E+02	4.61	0.02
DF-XA	        5.5	5.50E+05	1.4E+03	5.47	0.05
DF-XA	        7.0	6.93E+05	1.8E+03	6.76	0.08
noDF-XA	        4.5	4.51E+05	1.8E+03	3.89	0.09
noDF-XA	        5.5	5.47E+05	1.8E+03	4.58	0.09
noDF-XA	        7.0	6.91E+05	2.3E+03	5.60	0.13
noDF-XA_24mg	4.5	4.53E+05	1.4E+03	3.80	0.04
noDF-XA_24mg	5.5	5.49E+05	1.2E+03	4.59	0.03
noDF-XA_24mg	7.0	6.92E+05	1.1E+03	5.77	0.03
DF-XA-DS	    4.5 4.48E+05	3.0E+03	1.94	0.15
DF-XA-DS	    5.5 5.46E+05	2.6E+03	2.36	0.11
DF-XA-DS	    7.0 6.92E+05	6.6E+03	3.01	0.40
noDF-XA-DS	    4.5	4.49E+05	1.6E+03	4.40	0.07
noDF-XA-DS	    5.5	5.45E+05	1.5E+03	5.05	0.06
noDF-XA-DS	    7.0	6.93E+05	2.5E+03	6.17	0.14
DF-XA_2	        4.5	4.43E+05	7E+02	4.44	0.02
DF-XA_2	        5.5	5.43E+05	6E+02	5.26	0.02
DF-XA_2	        7.0	6.94E+05	8E+02	6.49	0.03
