PE   	DPE	AMP                 	DAMP               	FIT                 	DFIT                
19.5 	0	0.05091937765205092 	0.22565322433338045	0.029716341841151815	0.020936628332549917
20.5 	0	0.09335219236209336 	0.30553591010238607	0.046775701406704714	0.03091646787456197 
21.5 	0	0.12305516265912306 	0.35079219298485403	0.0705698637943494  	0.04361659288287287 
22.5 	0	0.14144271570014144 	0.37608870722230076	0.10231743334341124 	0.058965093571020706
23.5 	0	0.1782178217821782  	0.4221585268381751 	0.1429124979100707  	0.07655823283584637 
24.5 	0	0.2036775106082037  	0.4513064486667609 	0.19274774577766152 	0.09568038733327162 
25.5 	0	0.2743988684582744  	0.5238309540856424 	0.25157487175645565 	0.11535410436019217 
26.5 	0	0.31683168316831684 	0.5628780357842335 	0.3184381668228004  	0.13445031156754342 
27.5 	0	0.3635077793493635  	0.6029160632703059 	0.39169727124477965 	0.15183142628340326 
28.5 	0	0.4144271570014144  	0.6437601704061959 	0.46914036847520885 	0.16650334911779066 
29.5 	0	0.4766619519094767  	0.6904070914391571 	0.5481715551464137  	0.17774711785405917 
30.5 	0	0.5021216407355021  	0.708605419634582  	0.6260432164341103  	0.18520653737379483 
31.5 	0	0.6605374823196606  	0.8127345706438607 	0.7000979070341632  	0.18891748806046485 
32.5 	0	0.6888260254596889  	0.8299554358275442 	0.7679855171264609  	0.18927623909356164 
33.5 	0	0.7029702970297029  	0.8384332394589941 	0.8278291283645164  	0.1869547685313507  
34.5 	0	0.8203677510608204  	0.9057415476066119 	0.8783244004497218  	0.18277927726678792 
35.5 	0	0.8373408769448374  	0.9150633185440433 	0.9187695785172779  	0.17759360271543456 
36.5 	0	0.8939179632248939  	0.9454723492651141 	0.9490337008906763  	0.17213248306985152 
37.5 	0	0.9052333804809052  	0.9514375336725502 	0.969477697187145   	0.16692962372452616 
38.5 	0	0.8995756718528995  	0.9484596311139971 	0.9808462860087281  	0.16229204146900542 
39.5 	0	0.9476661951909476  	0.9734814816887621 	0.9841483226434097  	0.15832738267038698 
40.5 	0	0.9547383309759547  	0.9771071235928815 	0.9805404876224796  	0.15486316427679564 
41.5 	0	0.9533239038189534  	0.9763830722718176 	0.9712251021617796  	0.15174262758905518 
42.5 	0	0.9717114568599717  	0.9857542578452155 	0.9573684414138445  	0.1487522270795457  
43.5 	0	1.0                 	1.0                	0.9400419406205434  	0.14589068694337898 
44.5 	0	0.9717114568599717  	0.9857542578452155 	0.9201855771468692  	0.14298171594303066 
45.5 	0	0.958981612446959   	0.979276065492749  	0.8985906075870894  	0.1399777733906784  
46.5 	0	0.9490806223479491  	0.9742076895343975 	0.8758976915837493  	0.1368704459842893  
47.5 	0	0.8712871287128713  	0.9334276237142713 	0.8526060788350309  	0.13367681956070274 
48.5 	0	0.8698727015558698  	0.932669663683702  	0.8290897642212403  	0.13042704651067033 
49.5 	0	0.8104667609618105  	0.900259274299249  	0.8056171183067685  	0.12715502567116246 
50.5 	0	0.8147100424328148  	0.9026128973335218 	0.782371290665593   	0.12389249024965067 
51.5 	0	0.8217821782178217  	0.9065220230186477 	0.7594695113423076  	0.12066594822460386 
52.5 	0	0.768033946251768   	0.8763754596357477 	0.7369801717267905  	0.11749562762118482 
53.5 	0	0.7934936350777935  	0.8907825969773957 	0.7149371816824928  	0.11439561697352119 
54.5 	0	0.8033946251768034  	0.8963228353538715 	0.6933515445938387  	0.11137457850718786 
55.5 	0	0.7468175388967468  	0.8641860557176023 	0.6722203678981744  	0.10843663133611962 
56.5 	0	0.7043847241867044  	0.8392763097971397 	0.6515336589295972  	0.10558219298863893 
57.5 	0	0.6760961810466761  	0.8222506801740429 	0.6312792831488248  	0.10280870680779394 
58.5 	0	0.6605374823196606  	0.8127345706438607 	0.6114464260511557  	0.1001112683451635  
59.5 	0	0.652050919377652   	0.8074966992983018 	0.592027838412768   	0.09748320302700522 
60.5 	0	0.6336633663366337  	0.7960297521679913 	0.5730210842129388  	0.09491665031356217 
61.5 	0	0.6492220650636492  	0.8057431756233802 	0.5544289667654845  	0.09240318756490887 
62.5 	0	0.5615275813295615  	0.7493514404667289 	0.5362592855512648  	0.08993449202245973 
63.5 	0	0.5346534653465347  	0.7312000173321488 	0.5185240701683316  	0.08750300415618091 
64.5 	0	0.5997171145685997  	0.7744140459525509 	0.5012384406137366  	0.08510253106113222 
